effect_id,card_id,card_name,card_class,kind,ordinal,name,text,printed_cost,printed_damage,engine_source_path,engine_source_line_start,engine_source_line_end,engine_starter,engine_method_calls,engine_effect_tokens,generic_extraction,current_encoder,audit_status
card:42:attack:1,42,Applin,pokemon,attack,1,Rolling Tackle,,{G}{R},30,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,12591,12594,attack,"[""attack"",""textEn""]",[],"{""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""status"":""parsed""}","{""included"":true,""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""damage"":30,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""energy_cost"":2,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""reason"":null}",pending
card:57:ability:0,57,Relicanth,pokemon,ability,0,[Ability] Memory Dive,Each of your evolved Pokémon can use any attack from its previous Evolutions. (You still need the necessary Energy to use each attack.),,,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,440,443,abilityBattleField,"[""abilityBattleField"",""textEn"",""effect"",""targetPokemon""]","[""CanUsePreEvolutionAttack"",""Me""]","{""raw"":{""barrier"":0,""damage"":0,""draw"":0,""energy_active"":0,""energy_bench"":0,""gust"":0,""heal"":0,""immunity"":0,""mill"":0,""search"":0,""switch"":0},""status"":""parsed""}","{""included"":true,""raw"":{""barrier"":0,""damage"":0,""draw"":0,""energy_active"":0,""energy_bench"":0,""gust"":0,""heal"":0,""immunity"":0,""mill"":0,""search"":0,""switch"":0},""reason"":null}",pending
card:57:attack:0,57,Relicanth,pokemon,attack,0,Razor Fin,,{F}●,30,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,443,446,attack,"[""attack"",""textEn""]",[],"{""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""status"":""parsed""}","{""included"":true,""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""damage"":30,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""energy_cost"":2,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""reason"":null}",pending
card:58:attack:0,58,Great Tusk,pokemon,attack,0,Land Collapse,"Discard the top card of your opponent’s deck. If you played an Ancient Supporter card from your hand during this turn, discard 3 more cards in this way.",●●,,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,451,456,attack,"[""attack"",""textEn"",""postEffectDeckToTrash"",""exist"",""targetSupporter"",""targetCondition"",""postEffectDeckToTrash""]","[""TargetType"",""Ancient""]","{""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""deckout"":1,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""status"":""parsed""}","{""included"":true,""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""damage"":0,""deckout"":1,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""energy_cost"":2,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""reason"":null}",pending
card:58:attack:1,58,Great Tusk,pokemon,attack,1,Giant Tusk,,{F}{F}●●,160,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,456,459,attack,"[""attack"",""textEn""]",[],"{""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""status"":""parsed""}","{""included"":true,""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""damage"":160,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""energy_cost"":4,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""reason"":null}",pending
card:63:attack:0,63,Raging Bolt ex,pokemon,attack,0,Burst Roar,Discard your hand and draw 6 cards.,●,,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,504,510,attack,"[""attack"",""textEn"",""setPostEffect"",""existMyHand"",""target"",""postEffect"",""targetHand"",""effectDraw""]","[""AreaType"",""Deck"",""ToTrash"",""Me""]","{""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""deckout"":0,""discard_energy"":0,""draws_cards"":6,""energy_accel"":0,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""status"":""parsed""}","{""included"":true,""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""damage"":0,""deckout"":0,""discard_energy"":0,""draws_cards"":6,""energy_accel"":0,""energy_cost"":1,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""reason"":null}",pending
card:63:attack:1,63,Raging Bolt ex,pokemon,attack,1,Bellowing Thunder,You may discard any amount of Basic Energy from your Pokémon. This attack does 70 damage for each card you discarded in this way.,{L}{F},70×,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,510,515,attack,"[""attack"",""textEn"",""preEffect"",""targetAttachedEnergy"",""targetBasicEnergy"",""selectEnergyAny"",""effectEffectedCard"",""eVal""]","[""ToTrash"",""Me"",""AttackDamageChangeTargetCount""]","{""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""status"":""parsed""}","{""included"":true,""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""damage"":70,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""energy_cost"":2,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""reason"":null}",pending
card:65:attack:0,65,Dunsparce,pokemon,attack,0,Gnaw,,●,10,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,519,521,attack,"[""attack"",""textEn""]",[],"{""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""status"":""parsed""}","{""included"":true,""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""damage"":10,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""energy_cost"":1,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""reason"":null}",pending
card:65:attack:1,65,Dunsparce,pokemon,attack,1,Dig,"Flip a coin. If heads, during your opponent’s next turn, prevent all damage from and effects of attacks done to this Pokémon.",●●,30,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,521,527,attack,"[""attack"",""textEn"",""setPostEffect"",""effectBreakIfCoinTail"",""effectMe""]","[""NoDamageAndEffectAttackNextEnemyTurn""]","{""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""immunity"":1,""item_lock"":0,""outrage"":0,""probabilistic"":1,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""status"":""parsed""}","{""included"":true,""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""damage"":30,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""energy_cost"":2,""immunity"":1,""item_lock"":0,""outrage"":0,""probabilistic"":1,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""reason"":null}",pending
card:66:ability:0,66,Dudunsparce,pokemon,ability,0,[Ability] Run Away Draw,"Once during your turn, you may draw 3 cards. If you drew any cards in this way, shuffle this Pokémon and all attached cards into your deck.",,,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,532,538,activateSkillOnceTurn,"[""activateSkillOnceTurn"",""textEn"",""effectDraw"",""separator"",""effectMe"",""effectShuffle""]","[""ToDeckWithAttach""]","{""raw"":{""barrier"":0,""damage"":0,""draw"":3,""energy_active"":0,""energy_bench"":0,""gust"":0,""heal"":0,""immunity"":0,""mill"":0,""search"":0,""switch"":0},""status"":""parsed""}","{""included"":true,""raw"":{""barrier"":0,""damage"":0,""draw"":3,""energy_active"":0,""energy_bench"":0,""gust"":0,""heal"":0,""immunity"":0,""mill"":0,""search"":0,""switch"":0},""reason"":null}",pending
card:66:attack:0,66,Dudunsparce,pokemon,attack,0,Land Crush,,●●●,90,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,538,541,attack,"[""attack"",""textEn""]",[],"{""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""status"":""parsed""}","{""included"":true,""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""damage"":90,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""energy_cost"":3,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""reason"":null}",pending
card:73:attack:0,73,Rellor,pokemon,attack,0,Slight Intrusion,This Pokémon also does 10 damage to itself.,●,30,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,590,594,attack,"[""attack"",""textEn"",""postEffectDamageMe""]",[],"{""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":10,""retreat_lock"":0,""revenge"":0,""snipe"":0},""status"":""parsed""}","{""included"":true,""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""damage"":30,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""energy_cost"":1,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":10,""retreat_lock"":0,""revenge"":0,""snipe"":0},""reason"":null}",pending
card:74:ability:0,74,Rabsca,pokemon,ability,0,[Ability] Spherical Shield,Prevent all damage from and effects of attacks from your opponent’s Pokémon done to your Benched Pokémon.,,,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,599,602,abilityBattleField,"[""abilityBattleField"",""textEn"",""effect"",""targetBench""]","[""NoDamageAndEffectEnemyAttack"",""Me""]","{""raw"":{""barrier"":0,""damage"":0,""draw"":0,""energy_active"":0,""energy_bench"":0,""gust"":0,""heal"":0,""immunity"":0,""mill"":0,""search"":0,""switch"":0},""status"":""parsed""}","{""included"":true,""raw"":{""barrier"":1,""damage"":0,""draw"":0,""energy_active"":0,""energy_bench"":0,""gust"":0,""heal"":0,""immunity"":0,""mill"":0,""search"":0,""switch"":0},""reason"":null}",pending
card:74:attack:0,74,Rabsca,pokemon,attack,0,Psychic,This attack does 30 more damage for each Energy attached to your opponent’s Active Pokémon.,{G},10,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,602,606,attack,"[""attack"",""textEn"",""preEffect"",""eVal"",""targetActive""]","[""AttackDamageChangeEnergyCount"",""Enemy""]","{""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""status"":""parsed""}","{""included"":true,""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""damage"":10,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""energy_cost"":1,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""reason"":null}",pending
card:89:attack:0,89,Grookey,pokemon,attack,0,Smash Kick,,{G},10,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,756,758,attack,"[""attack"",""textEn""]",[],"{""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""status"":""parsed""}","{""included"":true,""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""damage"":10,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""energy_cost"":1,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""reason"":null}",pending
card:89:attack:1,89,Grookey,pokemon,attack,1,Branch Poke,,{G}{G},30,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,758,761,attack,"[""attack"",""textEn""]",[],"{""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""status"":""parsed""}","{""included"":true,""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""damage"":30,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""energy_cost"":2,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""reason"":null}",pending
card:90:ability:0,90,Thwackey,pokemon,ability,0,[Ability] Boom Boom Groove,"Once during your turn, if your Active Pokémon has the Festival Lead Ability, you may search your deck for a card and put it into your hand. Then, shuffle your deck.",,,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,766,770,activateSkillOnceTurn,"[""activateSkillOnceTurn"",""textEn"",""exist"",""targetNameCondition"",""effectDeckToHandReverseAndShuffle""]","[""TargetType"",""HasAbilityName""]","{""raw"":{""barrier"":0,""damage"":0,""draw"":0,""energy_active"":0,""energy_bench"":0,""gust"":0,""heal"":0,""immunity"":0,""mill"":0,""search"":1,""switch"":0},""status"":""parsed""}","{""included"":true,""raw"":{""barrier"":0,""damage"":0,""draw"":0,""energy_active"":0,""energy_bench"":0,""gust"":0,""heal"":0,""immunity"":0,""mill"":0,""search"":1,""switch"":0},""reason"":null}",pending
card:90:attack:0,90,Thwackey,pokemon,attack,0,Beat,,{G}{G},50,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,770,773,attack,"[""attack"",""textEn""]",[],"{""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""status"":""parsed""}","{""included"":true,""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""damage"":50,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""energy_cost"":2,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":0,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""reason"":null}",pending
card:92:attack:0,92,Applin,pokemon,attack,0,Tumbling Attack,"Flip a coin. If heads, this attack does 20 more damage.",{G},10,Imitation-Learning/ptcg_engine/ptcgProgram 22/CardImpl.h,12693,12699,attack,"[""attack"",""textEn"",""setPreEffect"",""effectBreakIfCoinTail"",""preEffectAttackDamageChange""]",[],"{""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":1,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""status"":""parsed""}","{""included"":true,""raw"":{""conditional"":0,""cooldown"":0,""counter_snipe"":0,""cubchoo"":0,""damage"":10,""deckout"":0,""discard_energy"":0,""draws_cards"":0,""energy_accel"":0,""energy_cost"":1,""immunity"":0,""item_lock"":0,""outrage"":0,""probabilistic"":1,""recoil"":0,""retreat_lock"":0,""revenge"":0,""snipe"":0},""reason"":null}",pending
