card_id,card_name,card_class,subtype,metadata_resolved,dataset_dates,source_archives,games_with_card,decks_with_card,total_copies,min_copies_in_containing_deck,max_copies_in_containing_deck,first_dataset_date,last_dataset_date,per_date
15,Team Rocket's Energy,energy,Special Energy,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",1224,1229,4916,4,4,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":457,""games_with_card"":457,""total_copies"":1828},""2026-07-13"":{""decks_with_card"":520,""games_with_card"":515,""total_copies"":2080},""2026-07-14"":{""decks_with_card"":252,""games_with_card"":252,""total_copies"":1008}}"
16,Prism Energy,energy,Special Energy,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",813,826,3146,1,4,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":501,""games_with_card"":488,""total_copies"":1901},""2026-07-13"":{""decks_with_card"":132,""games_with_card"":132,""total_copies"":500},""2026-07-14"":{""decks_with_card"":193,""games_with_card"":193,""total_copies"":745}}"
17,Ignition Energy,energy,Special Energy,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",991,995,3980,4,4,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":304,""games_with_card"":303,""total_copies"":1216},""2026-07-13"":{""decks_with_card"":477,""games_with_card"":474,""total_copies"":1908},""2026-07-14"":{""decks_with_card"":214,""games_with_card"":214,""total_copies"":856}}"
18,Grow Grass Energy,energy,Special Energy,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",6552,7271,27558,1,4,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":2741,""games_with_card"":2454,""total_copies"":9999},""2026-07-13"":{""decks_with_card"":2192,""games_with_card"":1994,""total_copies"":8535},""2026-07-14"":{""decks_with_card"":2338,""games_with_card"":2104,""total_copies"":9024}}"
19,Telepath Psychic Energy,energy,Special Energy,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",10329,12912,51647,3,4,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":3854,""games_with_card"":3197,""total_copies"":15416},""2026-07-13"":{""decks_with_card"":4447,""games_with_card"":3527,""total_copies"":17788},""2026-07-14"":{""decks_with_card"":4611,""games_with_card"":3605,""total_copies"":18443}}"
20,Rock Fighting Energy,energy,Special Energy,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",1175,1212,4578,1,4,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":797,""games_with_card"":763,""total_copies"":3058},""2026-07-13"":{""decks_with_card"":289,""games_with_card"":286,""total_copies"":1094},""2026-07-14"":{""decks_with_card"":126,""games_with_card"":126,""total_copies"":426}}"
31,Chi-Yu,pokemon,Basic Pokémon,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",109,109,109,1,1,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":5,""games_with_card"":5,""total_copies"":5},""2026-07-13"":{""decks_with_card"":102,""games_with_card"":102,""total_copies"":102},""2026-07-14"":{""decks_with_card"":2,""games_with_card"":2,""total_copies"":2}}"
42,Applin,pokemon,Basic Pokémon,True,"[""2026-07-12""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip""]",1,1,2,2,2,2026-07-12,2026-07-12,"{""2026-07-12"":{""decks_with_card"":1,""games_with_card"":1,""total_copies"":2}}"
57,Relicanth,pokemon,Basic Pokémon,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",124,125,215,1,2,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":101,""games_with_card"":100,""total_copies"":185},""2026-07-13"":{""decks_with_card"":13,""games_with_card"":13,""total_copies"":16},""2026-07-14"":{""decks_with_card"":11,""games_with_card"":11,""total_copies"":14}}"
58,Great Tusk,pokemon,Basic Pokémon,True,"[""2026-07-12"",""2026-07-13""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip""]",156,156,534,1,4,2026-07-12,2026-07-13,"{""2026-07-12"":{""decks_with_card"":122,""games_with_card"":122,""total_copies"":398},""2026-07-13"":{""decks_with_card"":34,""games_with_card"":34,""total_copies"":136}}"
63,Raging Bolt ex,pokemon,Basic Pokémon,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",9,9,18,2,2,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":6,""games_with_card"":6,""total_copies"":12},""2026-07-13"":{""decks_with_card"":2,""games_with_card"":2,""total_copies"":4},""2026-07-14"":{""decks_with_card"":1,""games_with_card"":1,""total_copies"":2}}"
65,Dunsparce,pokemon,Basic Pokémon,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",323,326,746,1,4,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":238,""games_with_card"":235,""total_copies"":595},""2026-07-13"":{""decks_with_card"":81,""games_with_card"":81,""total_copies"":125},""2026-07-14"":{""decks_with_card"":7,""games_with_card"":7,""total_copies"":26}}"
66,Dudunsparce,pokemon,Stage 1 Pokémon,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",10988,14039,31735,1,4,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":4457,""games_with_card"":3548,""total_copies"":10244},""2026-07-13"":{""decks_with_card"":4792,""games_with_card"":3730,""total_copies"":10735},""2026-07-14"":{""decks_with_card"":4790,""games_with_card"":3710,""total_copies"":10756}}"
73,Rellor,pokemon,Basic Pokémon,True,"[""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",198,198,198,1,1,2026-07-14,2026-07-14,"{""2026-07-14"":{""decks_with_card"":198,""games_with_card"":198,""total_copies"":198}}"
74,Rabsca,pokemon,Stage 1 Pokémon,True,"[""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",198,198,198,1,1,2026-07-14,2026-07-14,"{""2026-07-14"":{""decks_with_card"":198,""games_with_card"":198,""total_copies"":198}}"
89,Grookey,pokemon,Basic Pokémon,True,"[""2026-07-12"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",478,493,1972,4,4,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":1,""games_with_card"":1,""total_copies"":4},""2026-07-14"":{""decks_with_card"":492,""games_with_card"":477,""total_copies"":1968}}"
90,Thwackey,pokemon,Stage 1 Pokémon,True,"[""2026-07-12"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",478,493,1972,4,4,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":1,""games_with_card"":1,""total_copies"":4},""2026-07-14"":{""decks_with_card"":492,""games_with_card"":477,""total_copies"":1968}}"
92,Applin,pokemon,Basic Pokémon,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",484,499,1982,2,4,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":1,""games_with_card"":1,""total_copies"":2},""2026-07-13"":{""decks_with_card"":6,""games_with_card"":6,""total_copies"":12},""2026-07-14"":{""decks_with_card"":492,""games_with_card"":477,""total_copies"":1968}}"
93,Dipplin,pokemon,Stage 1 Pokémon,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",484,499,1984,2,4,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":1,""games_with_card"":1,""total_copies"":4},""2026-07-13"":{""decks_with_card"":6,""games_with_card"":6,""total_copies"":12},""2026-07-14"":{""decks_with_card"":492,""games_with_card"":477,""total_copies"":1968}}"
96,Teal Mask Ogerpon ex,pokemon,Basic Pokémon,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",16,16,53,2,4,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":6,""games_with_card"":6,""total_copies"":18},""2026-07-13"":{""decks_with_card"":9,""games_with_card"":9,""total_copies"":32},""2026-07-14"":{""decks_with_card"":1,""games_with_card"":1,""total_copies"":3}}"
104,Froslass,pokemon,Stage 1 Pokémon,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",2639,2732,5464,2,2,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":455,""games_with_card"":449,""total_copies"":910},""2026-07-13"":{""decks_with_card"":1112,""games_with_card"":1071,""total_copies"":2224},""2026-07-14"":{""decks_with_card"":1165,""games_with_card"":1119,""total_copies"":2330}}"
108,Wellspring Mask Ogerpon ex,pokemon,Basic Pokémon,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",9,9,9,1,1,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":6,""games_with_card"":6,""total_copies"":6},""2026-07-13"":{""decks_with_card"":2,""games_with_card"":2,""total_copies"":2},""2026-07-14"":{""decks_with_card"":1,""games_with_card"":1,""total_copies"":1}}"
109,Abra,pokemon,Basic Pokémon,True,"[""2026-07-12"",""2026-07-13""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip""]",141,141,141,1,1,2026-07-12,2026-07-13,"{""2026-07-12"":{""decks_with_card"":101,""games_with_card"":101,""total_copies"":101},""2026-07-13"":{""decks_with_card"":40,""games_with_card"":40,""total_copies"":40}}"
112,Munkidori,pokemon,Basic Pokémon,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",5004,5480,18971,1,4,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":2078,""games_with_card"":1857,""total_copies"":6561},""2026-07-13"":{""decks_with_card"":1805,""games_with_card"":1664,""total_copies"":6371},""2026-07-14"":{""decks_with_card"":1597,""games_with_card"":1483,""total_copies"":6039}}"
116,Okidogi,pokemon,Basic Pokémon,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",20,20,62,3,4,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":4,""games_with_card"":4,""total_copies"":12},""2026-07-13"":{""decks_with_card"":14,""games_with_card"":14,""total_copies"":42},""2026-07-14"":{""decks_with_card"":2,""games_with_card"":2,""total_copies"":8}}"
117,Cornerstone Mask Ogerpon ex,pokemon,Basic Pokémon,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",1208,1231,2002,1,2,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":521,""games_with_card"":507,""total_copies"":992},""2026-07-13"":{""decks_with_card"":359,""games_with_card"":353,""total_copies"":468},""2026-07-14"":{""decks_with_card"":351,""games_with_card"":348,""total_copies"":542}}"
119,Dreepy,pokemon,Basic Pokémon,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",708,715,2860,4,4,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":499,""games_with_card"":492,""total_copies"":1996},""2026-07-13"":{""decks_with_card"":187,""games_with_card"":187,""total_copies"":748},""2026-07-14"":{""decks_with_card"":29,""games_with_card"":29,""total_copies"":116}}"
120,Drakloak,pokemon,Stage 1 Pokémon,True,"[""2026-07-12"",""2026-07-13"",""2026-07-14""]","[""Imitation-Learning/Top-ladder-data/7-12/pokemon-tcg-ai-battle-episodes-2026-07-12.zip"",""Imitation-Learning/Top-ladder-data/7-13/pokemon-tcg-ai-battle-episodes-2026-07-13.zip"",""Imitation-Learning/Top-ladder-data/7-14/pokemon-tcg-ai-battle-episodes-2026-07-14.zip""]",708,715,2860,4,4,2026-07-12,2026-07-14,"{""2026-07-12"":{""decks_with_card"":499,""games_with_card"":492,""total_copies"":1996},""2026-07-13"":{""decks_with_card"":187,""games_with_card"":187,""total_copies"":748},""2026-07-14"":{""decks_with_card"":29,""games_with_card"":29,""total_copies"":116}}"
